Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3.0,1.0,27.1,0.0,0.0,7.8958,0.0,0.0
1.0,1.0,38.0,1.0,0.0,90.0,0.0,1.0
3.0,1.0,22.0,0.0,0.0,9.35,0.0,0.0
2.0,1.0,19.0,0.0,0.0,10.5,0.0,1.0
3.0,1.0,20.5,0.0,0.0,7.25,0.0,0.0
2.0,1.0,18.0,0.0,0.0,13.0,0.0,0.0
3.0,0.0,30.0,3.0,1.0,25.4667,0.0,0.0
1.0,0.0,35.0,1.0,0.0,83.475,0.0,1.0
3.0,1.0,29.0,0.0,0.0,7.775,0.0,0.0
2.0,1.0,59.0,0.0,0.0,13.5,0.0,0.0
3.0,0.0,5.0,4.0,2.0,31.3875,0.0,1.0
2.0,1.0,24.0,0.0,0.0,10.5,0.0,0.0
3.0,0.0,27.1,0.0,0.0,7.55,0.0,0.0
2.0,1.0,44.0,1.0,0.0,26.0,0.0,0.0
2.0,0.0,8.0,0.0,2.0,26.25,0.0,1.0
2.0,1.0,19.0,0.0,0.0,10.5,0.0,0.0
2.0,1.0,33.0,0.0,0.0,12.275,0.0,0.0
3.0,0.0,24.65,1.0,0.0,14.4542,1.0,0.0
3.0,0.0,22.45,1.0,0.0,15.5,2.0,1.0
2.0,1.0,29.0,0.0,0.0,10.5,0.0,0.0
3.0,1.0,22.0,0.0,0.0,7.125,0.0,0.0
3.0,1.0,30.0,0.0,0.0,7.225,1.0,0.0
1.0,1.0,44.0,2.0,0.0,90.0,2.0,0.0
3.0,0.0,25.0,0.0,0.0,7.775,0.0,0.0
2.0,0.0,24.0,0.0,2.0,14.5,0.0,1.0
1.0,1.0,37.0,1.0,1.0,52.5542,0.0,1.0
2.0,1.0,54.0,1.0,0.0,26.0,0.0,0.0
3.0,1.0,29.85,0.0,0.0,7.25,0.0,0.0
3.0,0.0,29.0,1.0,1.0,10.4625,0.0,0.0
1.0,1.0,62.0,0.0,0.0,26.55,0.0,0.0
3.0,1.0,30.0,1.0,0.0,16.1,0.0,0.0
3.0,0.0,41.0,0.0,2.0,20.2125,0.0,0.0
3.0,0.0,29.0,0.0,2.0,15.2458,1.0,1.0
1.0,0.0,42.2,0.0,0.0,79.2,1.0,1.0
1.0,0.0,30.0,0.0,0.0,86.5,0.0,1.0
1.0,0.0,35.0,0.0,0.0,512.3292,1.0,1.0
2.0,0.0,50.0,0.0,1.0,26.0,0.0,1.0
3.0,1.0,35.4,0.0,0.0,7.75,2.0,0.0
3.0,1.0,3.0,4.0,2.0,31.3875,0.0,1.0
1.0,1.0,52.0,1.0,1.0,79.65,0.0,0.0
1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,34.65,0.0,0.0,7.75,2.0,0.0
2.0,1.0,36.0,0.0,0.0,10.5,0.0,0.0
3.0,1.0,16.0,4.0,1.0,39.6875,0.0,0.0
3.0,1.0,25.0,1.0,0.0,7.775,0.0,1.0
1.0,0.0,58.0,0.0,1.0,153.4625,0.0,1.0
1.0,0.0,35.0,0.0,0.0,135.6333,0.0,1.0
1.0,1.0,49.0,0.0,0.0,31.0,0.0,0.0
3.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,41.0,0.0,1.0,19.5,0.0,1.0
1.0,1.0,37.0,0.0,1.0,29.7,1.0,0.0
3.0,0.0,19.65,0.0,0.0,7.75,2.0,1.0
1.0,0.0,63.0,1.0,0.0,77.9583,0.0,1.0
3.0,0.0,45.0,0.0,0.0,7.75,0.0,0.0
2.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,7.0,4.0,1.0,29.125,2.0,0.0
3.0,0.0,35.0,1.0,1.0,20.25,0.0,1.0
3.0,1.0,65.0,0.0,0.0,7.75,2.0,0.0
3.0,1.0,28.0,0.0,0.0,7.8542,0.0,0.0
3.0,1.0,16.0,0.0,0.0,9.5,0.0,0.0
3.0,1.0,19.0,0.0,0.0,8.05,0.0,1.0
1.0,1.0,54.2,0.0,0.0,26.0,0.0,0.0
3.0,1.0,33.0,0.0,0.0,8.6625,1.0,0.0
3.0,1.0,30.0,0.0,0.0,9.5,0.0,1.0
3.0,1.0,22.0,0.0,0.0,7.8958,0.0,0.0
2.0,1.0,42.0,0.0,0.0,13.0,0.0,1.0
3.0,0.0,22.0,0.0,0.0,7.75,2.0,1.0
1.0,0.0,26.0,0.0,0.0,78.85,0.0,1.0
1.0,0.0,19.0,1.0,0.0,91.0792,1.0,1.0
2.0,1.0,36.0,0.0,0.0,12.875,1.0,0.0
3.0,0.0,24.0,0.0,0.0,8.85,0.0,0.0
3.0,1.0,24.0,0.0,0.0,7.8958,0.0,0.0
1.0,1.0,48.35,0.0,0.0,27.7208,1.0,0.0
3.0,1.0,23.5,0.0,0.0,7.2292,1.0,0.0
1.0,0.0,2.0,1.0,2.0,151.55,0.0,0.0
1.0,1.0,41.6,0.0,0.0,30.5,0.0,1.0
1.0,0.0,50.0,0.0,1.0,247.5208,1.0,1.0
3.0,0.0,19.65,0.0,0.0,7.75,2.0,1.0
3.0,1.0,27.1,2.0,0.0,23.25,2.0,1.0
3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,26.4,0.0,0.0,12.35,2.0,1.0
3.0,1.0,31.4,0.0,0.0,8.05,0.0,0.0
1.0,1.0,0.92,1.0,2.0,151.55,0.0,1.0
1.0,0.0,33.2,0.0,0.0,110.8833,1.0,1.0
1.0,0.0,17.0,1.0,0.0,108.9,1.0,1.0
2.0,1.0,30.0,1.0,0.0,24.0,1.0,0.0
1.0,0.0,30.0,0.0,0.0,56.9292,1.0,1.0
1.0,0.0,24.0,0.0,0.0,83.1583,1.0,1.0
1.0,0.0,18.0,2.0,2.0,262.375,1.0,1.0
2.0,0.0,26.0,1.0,1.0,26.0,0.0,0.0
3.0,1.0,28.0,0.0,0.0,7.8958,0.0,0.0
2.0,1.0,43.0,1.0,1.0,26.25,0.0,0.0
3.0,0.0,26.0,0.0,0.0,7.8542,0.0,1.0
2.0,0.0,24.0,1.0,0.0,26.0,0.0,1.0
2.0,1.0,54.0,0.0,0.0,14.0,0.0,0.0
1.0,0.0,31.0,0.0,2.0,164.8667,0.0,1.0
1.0,0.0,40.0,1.0,1.0,134.5,1.0,1.0
3.0,1.0,22.0,0.0,0.0,7.25,0.0,0.0
3.0,1.0,27.0,0.0,0.0,7.8958,0.0,0.0
2.0,0.0,30.0,0.0,0.0,12.35,2.0,1.0
2.0,0.0,22.0,1.0,1.0,29.0,0.0,1.0
3.0,1.0,34.4,8.0,2.0,69.55,0.0,0.0
1.0,0.0,36.0,0.0,0.0,135.6333,1.0,1.0
3.0,1.0,61.0,0.0,0.0,6.2375,0.0,0.0
2.0,0.0,36.0,0.0,0.0,13.0,0.0,1.0
3.0,0.0,31.0,1.0,1.0,20.525,0.0,1.0
1.0,0.0,16.0,0.0,1.0,57.9792,1.0,1.0
3.0,0.0,27.1,2.0,0.0,23.25,2.0,1.0
1.0,1.0,45.5,0.0,0.0,28.5,0.0,0.0
1.0,1.0,38.0,0.0,1.0,153.4625,0.0,0.0
3.0,1.0,16.0,2.0,0.0,18.0,0.0,0.0
1.0,0.0,34.3,1.0,0.0,133.65,0.0,1.0
3.0,1.0,27.1,0.0,0.0,7.8958,0.0,0.0
1.0,1.0,29.0,1.0,0.0,66.6,0.0,0.0
1.0,0.0,41.0,0.0,0.0,134.5,1.0,1.0
3.0,1.0,45.0,0.0,0.0,8.05,0.0,1.0
1.0,1.0,45.0,0.0,0.0,35.5,0.0,0.0
2.0,1.0,2.0,1.0,1.0,26.0,0.0,1.0
1.0,0.0,24.0,3.0,2.0,263.0,0.0,1.0
2.0,1.0,28.0,0.0,0.0,13.0,0.0,0.0
2.0,1.0,25.0,0.0,0.0,13.0,0.0,0.0
2.0,1.0,36.0,0.0,0.0,13.0,0.0,0.0
2.0,0.0,24.0,0.0,0.0,13.0,0.0,1.0
2.0,0.0,40.0,0.0,0.0,13.0,0.0,1.0
3.0,0.0,24.3,1.0,0.0,16.1,0.0,1.0
3.0,1.0,3.0,1.0,1.0,15.9,0.0,1.0
3.0,1.0,42.0,0.0,0.0,8.6625,0.0,0.0
3.0,1.0,23.0,0.0,0.0,9.225,0.0,0.0
1.0,1.0,42.4,0.0,0.0,35.0,0.0,0.0
3.0,1.0,15.0,1.0,1.0,7.2292,1.0,0.0
3.0,1.0,25.0,1.0,0.0,17.8,0.0,0.0
3.0,1.0,31.25,0.0,0.0,7.225,1.0,0.0
3.0,1.0,28.0,0.0,0.0,9.5,0.0,0.0
1.0,0.0,22.0,0.0,1.0,55.0,0.0,1.0
2.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0
3.0,0.0,19.65,0.0,0.0,7.8792,2.0,1.0
3.0,0.0,19.65,0.0,0.0,7.8792,2.0,1.0
3.0,1.0,40.0,1.0,4.0,27.9,0.0,0.0
2.0,1.0,29.0,1.0,0.0,27.7208,1.0,0.0
3.0,0.0,45.0,0.0,1.0,14.4542,1.0,0.0
3.0,1.0,35.0,0.0,0.0,7.05,0.0,0.0
3.0,1.0,24.45,1.0,0.0,15.5,2.0,0.0
3.0,1.0,30.0,0.0,0.0,7.25,0.0,0.0
1.0,0.0,60.0,1.0,0.0,75.25,1.0,1.0
3.0,0.0,19.2,0.0,0.0,7.2292,1.0,1.0
3.0,0.0,19.65,0.0,0.0,7.75,2.0,1.0
1.0,0.0,24.0,0.0,0.0,69.3,1.0,1.0
1.0,1.0,25.0,1.0,0.0,55.4417,1.0,1.0
3.0,1.0,18.0,1.0,0.0,6.4958,0.0,0.0
3.0,1.0,19.0,0.0,0.0,8.05,0.0,0.0
1.0,1.0,22.0,0.0,0.0,135.6333,1.0,0.0
3.0,0.0,3.0,3.0,1.0,21.075,0.0,0.0
1.0,0.0,37.0,1.0,0.0,82.1708,1.0,1.0
3.0,0.0,22.0,0.0,0.0,7.25,0.0,1.0
1.0,1.0,27.0,0.0,2.0,211.5,1.0,0.0
3.0,1.0,20.0,0.0,0.0,4.0125,1.0,0.0
3.0,1.0,19.0,0.0,0.0,7.775,0.0,0.0
1.0,0.0,42.0,0.0,0.0,227.525,1.0,1.0
3.0,0.0,1.0,0.0,2.0,15.7417,1.0,1.0
3.0,1.0,32.0,0.0,0.0,7.925,0.0,0.0
1.0,0.0,35.0,1.0,0.0,52.0,0.0,1.0
3.0,1.0,27.1,0.0,0.0,7.8958,0.0,0.0
2.0,1.0,18.0,0.0,0.0,73.5,0.0,0.0
3.0,1.0,1.0,5.0,2.0,46.9,0.0,0.0
2.0,0.0,36.0,0.0,0.0,13.0,0.0,1.0
3.0,1.0,35.4,0.0,0.0,7.7292,2.0,0.0
2.0,0.0,17.0,0.0,0.0,12.0,1.0,1.0
1.0,1.0,36.0,1.0,2.0,120.0,0.0,1.0
3.0,1.0,21.0,0.0,0.0,7.7958,0.0,1.0
3.0,1.0,28.0,2.0,0.0,7.925,0.0,0.0
1.0,0.0,23.0,1.0,0.0,113.275,1.0,1.0
3.0,0.0,24.0,0.0,2.0,16.7,0.0,1.0
3.0,1.0,22.0,0.0,0.0,7.7958,0.0,0.0
3.0,0.0,31.0,0.0,0.0,7.8542,0.0,0.0
2.0,1.0,46.0,0.0,0.0,26.0,0.0,0.0
2.0,1.0,23.0,0.0,0.0,10.5,0.0,0.0
2.0,0.0,28.0,0.0,0.0,12.65,0.0,1.0
3.0,1.0,39.0,0.0,0.0,7.925,0.0,1.0
3.0,1.0,26.0,0.0,0.0,8.05,0.0,0.0
3.0,0.0,21.0,1.0,0.0,9.825,0.0,0.0
3.0,1.0,28.0,1.0,0.0,15.85,0.0,0.0
3.0,0.0,20.0,0.0,0.0,8.6625,0.0,0.0
2.0,1.0,34.0,1.0,0.0,21.0,0.0,0.0
3.0,1.0,51.0,0.0,0.0,7.75,0.0,0.0
2.0,1.0,3.0,1.0,1.0,18.75,0.0,1.0
3.0,1.0,21.0,0.0,0.0,7.775,0.0,0.0
3.0,0.0,30.0,3.0,1.0,25.4667,0.0,0.0
3.0,1.0,27.1,0.0,0.0,7.8958,0.0,0.0
3.0,1.0,36.2,0.0,0.0,6.8583,2.0,0.0
1.0,0.0,33.0,1.0,0.0,90.0,2.0,1.0
2.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,44.0,0.0,0.0,7.925,0.0,1.0
3.0,0.0,25.8,0.0,0.0,8.05,0.0,0.0
2.0,0.0,34.0,1.0,1.0,32.5,0.0,1.0
2.0,0.0,18.0,0.0,2.0,13.0,0.0,1.0
2.0,1.0,30.0,0.0,0.0,13.0,0.0,0.0
3.0,0.0,10.0,0.0,2.0,24.15,0.0,0.0
3.0,1.0,31.25,0.0,0.0,7.8958,1.0,0.0
3.0,1.0,21.0,0.0,0.0,7.7333,2.0,0.0
3.0,1.0,29.0,0.0,0.0,7.875,0.0,0.0
3.0,0.0,28.0,1.0,1.0,14.4,0.0,0.0
3.0,1.0,18.0,1.0,1.0,20.2125,0.0,0.0
3.0,1.0,29.85,0.0,0.0,7.25,0.0,0.0
2.0,0.0,28.0,1.0,0.0,26.0,0.0,1.0
2.0,0.0,19.0,0.0,0.0,26.0,0.0,1.0
3.0,1.0,35.4,0.0,0.0,7.75,2.0,0.0
3.0,1.0,32.0,0.0,0.0,8.05,0.0,1.0
1.0,1.0,28.0,0.0,0.0,26.55,0.0,1.0
3.0,0.0,24.3,1.0,0.0,16.1,0.0,1.0
2.0,0.0,42.0,1.0,0.0,26.0,0.0,1.0
3.0,1.0,17.0,0.0,0.0,7.125,0.0,0.0
1.0,1.0,50.0,1.0,0.0,55.9,0.0,0.0
1.0,0.0,14.0,1.0,2.0,120.0,0.0,1.0
3.0,0.0,21.0,2.0,2.0,34.375,0.0,0.0
2.0,0.0,24.0,2.0,3.0,18.75,0.0,1.0
1.0,1.0,64.0,1.0,4.0,263.0,0.0,0.0
2.0,1.0,31.0,0.0,0.0,10.5,0.0,0.0
2.0,0.0,45.0,1.0,1.0,26.25,0.0,1.0
3.0,1.0,20.0,0.0,0.0,9.5,0.0,0.0
3.0,1.0,25.0,1.0,0.0,7.775,0.0,0.0
2.0,0.0,28.0,0.0,0.0,13.0,0.0,1.0
3.0,1.0,30.8,0.0,0.0,8.1125,0.0,1.0
1.0,1.0,4.0,0.0,2.0,81.8583,0.0,1.0
2.0,0.0,13.0,0.0,1.0,19.5,0.0,1.0
1.0,1.0,34.0,0.0,0.0,26.55,0.0,1.0
3.0,0.0,5.0,2.0,1.0,19.2583,1.0,1.0
1.0,1.0,52.0,0.0,0.0,30.5,0.0,1.0
